2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Score of Index of Relative Socio-economic Disadvantage,Decile of Index of Relative Socio-economic Disadvantage,Score of Index of Relative Socio-economic Advantage and Disadvantage,Decile of Index of Relative Socio-economic Advantage and Disadvantage,Score of Index of Economic Resources,Decile of Index of Economic Resources,Score of Index of Education and Occupation,Decile of Index of Education and Occupation,Usual Resident Population,State
60192,Erriba,934,2,914,2,927,1,957,4,43,TAS
60193,Eugenana,1035,7,977,5,1068,8,935,3,169,TAS
60194,Evandale (Tas.),1005,5,971,5,985,3,973,5,1265,TAS
60195,Exeter (Tas.),964,3,920,2,968,3,896,2,759,TAS
60196,Exton,962,3,932,3,1023,5,893,2,221,TAS
60197,Falmouth,998,5,943,3,976,3,968,5,139,TAS
60198,Fentonbury,906,1,896,2,954,2,921,3,88,TAS
60199,Fern Tree,1100,10,1089,10,1065,8,1148,10,763,TAS
60200,Fingal (Tas.),813,1,808,1,904,1,834,1,431,TAS
60201,Fitzgerald (Tas.),831,1,817,1,872,1,884,1,33,TAS
60202,Flintstone,950,2,914,2,987,3,891,2,73,TAS
60204,Flowerdale (Tas.),1043,7,993,6,1037,6,958,4,279,TAS
60205,Flowerpot,1063,9,1041,8,1042,7,1068,9,108,TAS
60206,Flowery Gully,927,2,886,1,997,4,870,1,82,TAS
60207,Forcett,1034,7,973,5,1062,8,919,3,1102,TAS
60208,Forest,962,3,914,2,979,3,898,2,464,TAS
60209,Forester,987,4,971,5,1014,5,933,3,11,TAS
60211,Forth,1042,7,991,6,1032,6,981,6,738,TAS
60212,Forthside,1051,8,1001,6,1045,7,962,5,76,TAS
60213,Four Mile Creek (Tas.),998,5,943,3,976,3,968,5,118,TAS
60214,Frankford,893,1,855,1,970,3,870,1,165,TAS
60215,Franklin (Tas.),967,3,947,3,971,3,965,5,1301,TAS
60217,Friendly Beaches,977,3,948,3,982,3,974,5,11,TAS
60218,Gagebrook,562,1,634,1,670,1,728,1,1572,TAS
60220,Garden Island Creek,899,1,893,2,913,1,944,4,282,TAS
60221,Gardners Bay,973,3,954,4,978,3,1001,7,346,TAS
60222,Gawler (Tas.),1028,6,980,5,1051,7,942,4,703,TAS
60223,Geeveston,936,2,912,2,971,3,911,2,1431,TAS
60224,Geilston Bay,1032,7,1005,7,1001,4,1000,7,3461,TAS
60225,George Town,792,1,790,1,856,1,798,1,4536,TAS
60226,Gladstone (Tas.),898,1,890,1,935,2,911,2,124,TAS
60227,Glaziers Bay,1048,8,1030,8,1056,7,1053,9,112,TAS
60228,Glebe (Tas.),1077,9,1096,10,976,3,1129,10,570,TAS
60229,Glen Huon,973,3,948,3,999,4,969,5,742,TAS
60230,Glendevie,967,3,946,3,973,3,963,5,87,TAS
60231,Glenfern (Tas.),864,1,860,1,948,2,852,1,176,TAS
60232,Glengarry (Tas.),1022,6,970,5,1056,7,950,4,540,TAS
60233,Glenlusk,1012,5,979,5,1060,8,957,4,205,TAS
60234,Glenora,897,1,874,1,984,3,863,1,93,TAS
60235,Glenorchy (Tas.),877,1,880,1,865,1,905,2,12013,TAS
60236,Golconda,928,2,886,1,993,4,895,2,22,TAS
60237,Golden Valley,956,3,940,3,963,2,997,6,226,TAS
60238,Goodwood (Tas.),811,1,819,1,832,1,852,1,1142,TAS
60239,Gordon (Tas.),1064,9,994,6,1023,5,1028,8,208,TAS
60240,Gormanston,965,3,914,2,1033,6,821,1,32,TAS
60241,Goshen,898,1,874,1,973,3,903,2,95,TAS
60242,Goulds Country,898,1,874,1,973,3,903,2,91,TAS
60243,Gowrie Park,934,2,914,2,927,1,957,4,41,TAS
60244,Granton,1043,7,993,6,1064,8,925,3,1903,TAS
60245,Granville Harbour,-,-,-,-,1033,6,977,5,30,TAS
60246,Grasstree Hill,993,4,936,3,975,3,915,2,108,#N/A
60247,Grassy,985,4,948,3,960,2,937,3,121,TAS
60248,Gravelly Beach,995,4,939,3,993,4,926,3,641,TAS
60249,Gray (Tas.),923,2,920,2,943,2,940,4,71,TAS
60250,Great Bay,1038,7,1010,7,1019,5,1042,8,92,TAS
60251,Greens Beach,990,4,947,3,967,3,967,5,247,TAS
60252,Gretna,901,1,882,1,952,2,884,2,254,TAS
60253,Grindelwald,1064,9,1030,8,1050,7,1014,7,1037,TAS
60254,Grove,1028,6,976,5,1037,6,954,4,533,TAS
60256,Gunns Plains,968,3,948,3,1009,5,961,5,195,TAS
60257,Hadspen,986,4,931,3,990,4,898,2,2429,TAS
60258,Hagley,1018,6,975,5,1014,5,960,5,340,TAS
60259,Hamilton (Tas.),901,1,882,1,952,2,884,2,241,TAS
60260,Hampshire,962,3,906,2,1009,5,880,1,54,TAS
60261,Harford,1010,5,970,5,1013,5,987,6,97,TAS
60262,Hastings (Tas.),875,1,870,1,914,1,924,3,54,TAS
60263,Havenview,908,1,880,1,931,2,859,1,735,TAS
60264,Hawley Beach,1043,7,1016,7,1012,5,1041,8,590,TAS
60265,Hayes,956,3,916,2,1007,4,877,1,109,TAS
60266,Hellyer,942,2,904,2,954,2,887,2,189,TAS
60267,Henrietta,930,2,884,1,981,3,857,1,137,TAS
60268,Herdsmans Cove,689,1,718,1,760,1,745,1,1199,TAS
60269,Hermitage,950,2,914,2,987,3,891,2,6,TAS
60270,Herrick,769,1,810,1,873,1,876,1,47,TAS
60271,Heybridge,946,2,913,2,979,3,918,3,442,TAS
60272,Highclere,962,3,906,2,1009,5,880,1,119,TAS
60273,Highcroft,957,3,948,3,956,2,981,6,42,TAS
60274,Hillcrest (Tas.),864,1,827,1,874,1,821,1,1088,TAS
60275,Hillwood,1046,7,994,6,1038,6,962,5,591,TAS
60276,Hobart,972,3,1024,8,830,1,1084,10,3390,TAS
60277,Hollow Tree,901,1,882,1,952,2,884,2,33,TAS
60278,Holwell,927,2,886,1,997,4,870,1,83,TAS
60279,Honeywood,1051,8,987,6,1087,9,947,4,535,TAS
60280,Howden,1089,10,1071,10,1098,10,1070,9,717,TAS
60281,Howrah,1046,7,1021,7,1011,5,1022,8,9545,TAS
60282,Howth,1024,6,974,5,1032,6,931,3,61,TAS
60283,Huntingfield,1019,6,973,5,1001,4,980,6,540,TAS
60284,Huon Island,899,1,893,2,913,1,944,4,7,TAS
60285,Huonville,962,3,926,2,969,3,923,3,3002,TAS
60286,Ida Bay,875,1,870,1,914,1,924,3,14,TAS
60287,Interlaken,950,2,914,2,987,3,891,2,22,TAS
60288,Invermay (Tas.),888,1,888,1,849,1,932,3,3498,TAS
60289,Irishtown (Tas.),1016,6,962,4,1051,7,925,3,307,TAS
60290,Jackeys Marsh,952,2,933,3,1006,4,952,4,42,TAS
60291,Jericho (Tas.),884,1,865,1,968,3,887,2,51,TAS
60292,Jetsonville,1023,6,980,5,1058,8,957,4,147,TAS
